Hampton by Hilton;Bulevardul 21 Decembrie 1989 67, Cluj-Napoca 400124;46.775113;23.601878;2;350;1;400;1;650
Grand Hotel Italia;Strada Trifoiului 2, Cluj-Napoca 400478;46.752879;23.605848;2;360;1;420;1;700
Beyfin;Piata Avram Iancu 3, Cluj-Napoca 400098;46.771342;23.596176;4;300;8;370;0;600
Hotel Opera Plaza;Strada General Traian Mosoiu 10-12, Cluj-Napoca 400132;46.768870;23.600571;4;450;8;520;2;800
Grand Hotel Napoca;Strada Octavian Goga 1, Cluj-Napoca 400698;46.771694;23.576061;5;450;7;450;3;800;
Hotel Confort;Calea Turzii 48, Cluj-Napoca 400193;46.763728;23.597908;6;200;7;200;1;350
Hotel Paradis;Strada Ciocarliei, Cluj-Napoca 400124;46.779862;23.611739;7;200;8;250;1;400
Hotel Sunny Hill;Strada Fagetului 31A, Cluj-Napoca 400497;46.716030;23.573740;4;150;6;190
Golden Tulip Ana Dome;Strada Observatorului 129, Cluj-Napoca 400352;46.751989;23.576580;0;330;0;350;0;600
Golden Tulip Ana Dome;Strada Observatorului 129, Cluj-Napoca 400352;46.751989;23.576580
